Date,Open,High,Low,Close,Adj Close,Volume,MA7,MA21,MACD,RSI
2014-09-19,92.699997,99.699997,89.949997,93.889999,93.889999,271879400,,,0.0,
2014-09-22,92.699997,92.949997,89.5,89.889999,89.889999,66657800,,,-0.3190883190883085,
2014-09-23,88.940002,90.480003,86.620003,87.169998,87.169998,39009800,,,-0.7824300925154688,
2014-09-24,88.470001,90.57,87.220001,90.57,90.57,32088000,,,-0.8653053384482661,
2014-09-25,91.089996,91.5,88.5,88.919998,88.919998,28598000,,,-1.051999148356316,
2014-09-26,89.730003,90.459999,88.660004,90.459999,90.459999,18340000,,,-1.063431550439745,
2014-09-29,89.620003,89.699997,88.019997,88.75,88.75,25302000,89.949999,,-1.1966798591895582,
2014-09-30,89.0,90.879997,88.459999,88.849998,88.849998,24419400,89.22999885714286,,-1.2794622565383946,
2014-10-01,88.699997,88.940002,86.040001,86.099998,86.099998,24029600,88.68857014285716,,-1.5491127130762266,
2014-10-02,86.269997,88.199997,85.611,87.059998,87.059998,21469700,88.67285585714285,,-1.6661424130636675,
2014-10-03,88.099998,89.940002,87.650002,88.099998,88.099998,18485700,88.31999842857144,,-1.6558820080616528,
2014-10-06,89.150002,89.650002,88.059998,88.309998,88.309998,9268400,88.23285557142857,,-1.6122206422274985,
2014-10-07,87.949997,89.699997,87.059998,87.669998,87.669998,12791700,87.834284,,-1.6106942656653729,
2014-10-08,88.0,88.5,87.059998,88.300003,88.300003,10252600,87.76999871428572,,-1.5408860872686319,36.908679378480755
2014-10-09,88.510002,90.349998,88.0,88.790001,88.790001,21507000,87.7614277142857,,-1.429544955051611,38.32418361057223
2014-10-10,88.25,88.739998,85.239998,85.879997,85.879997,15431400,87.72999899999999,,-1.5581578348810012,40.33734923501238
2014-10-13,86.849998,86.889999,84.919998,85.120003,85.120003,14845000,87.45285685714285,,-1.7017924292216264,44.54498490500503
2014-10-14,85.809998,85.879997,83.220001,84.949997,84.949997,15559200,87.00285671428571,,-1.808494741833556,31.940872520172988
2014-10-15,84.040001,86.489998,82.809998,85.599998,85.599998,16824300,86.61571385714286,,-1.8196318614943578,38.59890579715416
2014-10-16,84.980003,89.175003,84.014999,88.849998,88.849998,15232000,86.78428528571428,,-1.5483617203568798,45.05224184012236
2014-10-17,90.400002,90.900002,87.669998,87.910004,87.910004,17360700,86.72857114285715,88.14952295238095,-1.3931682625385662,47.29033548387096
2014-10-20,88.0,89.5,87.860001,88.260002,88.260002,9891400,86.65285700000001,87.88142785714285,-1.2277813168115017,48.12699682539683
